policy,rrs_mode,m_budget_mb,bw_gbps,epsilon,epsilon_abs,epsilon_norm,token_ref,requests,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,hit_rate,resident_hit_rate,offload_hit_rate,recompute_ratio,restore_ratio,qloss_current,qloss_peak,qloss_current_abs,qloss_peak_abs,qloss_current_norm,qloss_peak_norm,memory_peak_mb,migrations,evictions,offloads,drops,epsilon_ok,experiment,repeat_seed,method,epsilon_norm_cfg,qloss_within_budget
static-int4,rrs,3000.0,8.0,145.466,145.466,0.002,72733,450,0.72,104.646,12.858667,0.895556,0.895556,0.0,0.104444,0.0,581.864,581.864,581.864,581.864,0.008,0.008,2181.99,0,0,0,0,False,H4,5,static-int4,0.002,False
score,rrs,3000.0,8.0,145.466,145.466,0.002,72733,450,5.76,170.4,35.507467,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.88,0,291,0,291,True,H4,5,lpe-only,0.002,True
tiered,rrs,3000.0,8.0,145.466,145.466,0.002,72733,450,0.84,177.72,26.389867,0.806667,0.806667,0.0,0.193333,0.0,145.368,145.368,145.368,145.368,0.001999,0.001999,3000.0,86,57,0,57,True,H4,5,tms-tiered,0.002,True
pgdsf,rrs,3000.0,8.0,290.932,290.932,0.004,72733,450,5.04,190.32,44.624267,0.535556,0.535556,0.0,0.464444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.88,0,219,0,219,True,H4,5,ragcache_pgdsf_approx,0.004,True
static-int4,rrs,3000.0,8.0,290.932,290.932,0.004,72733,450,0.72,104.646,12.858667,0.895556,0.895556,0.0,0.104444,0.0,581.864,581.864,581.864,581.864,0.008,0.008,2181.99,0,0,0,0,False,H4,5,static-int4,0.004,False
score,rrs,3000.0,8.0,290.932,290.932,0.004,72733,450,5.76,170.4,35.507467,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.88,0,291,0,291,True,H4,5,lpe-only,0.004,True
tiered,rrs,3000.0,8.0,290.932,290.932,0.004,72733,450,0.78,145.308,19.9552,0.842222,0.842222,0.0,0.157778,0.0,290.796,290.796,290.796,290.796,0.003998,0.003998,3000.0,134,34,0,34,True,H4,5,tms-tiered,0.004,True
pgdsf,rrs,3000.0,8.0,581.864,581.864,0.008,72733,450,5.04,190.32,44.624267,0.535556,0.535556,0.0,0.464444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.88,0,219,0,219,True,H4,5,ragcache_pgdsf_approx,0.008,True
static-int4,rrs,3000.0,8.0,581.864,581.864,0.008,72733,450,0.72,104.646,12.858667,0.895556,0.895556,0.0,0.104444,0.0,581.864,581.864,581.864,581.864,0.008,0.008,2181.99,0,0,0,0,True,H4,5,static-int4,0.008,True
score,rrs,3000.0,8.0,581.864,581.864,0.008,72733,450,5.76,170.4,35.507467,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.88,0,291,0,291,True,H4,5,lpe-only,0.008,True
tiered,rrs,3000.0,8.0,581.864,581.864,0.008,72733,450,0.72,104.646,12.858667,0.895556,0.895556,0.0,0.104444,0.0,419.876,419.876,419.876,419.876,0.005773,0.005773,3000.0,156,0,0,0,True,H4,5,tms-tiered,0.008,True
